subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1555,63471,1,11,11,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,22883,469
1555,63472,1,12,12,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,26621,474
1555,63473,2,1,13,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,24972,481
1555,63474,2,2,14,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,8022,599
1555,63475,2,3,15,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,9680,494
1555,63476,2,4,16,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,13870,465
1555,63477,2,5,17,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,90501,488
1555,63478,2,6,18,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,39180,511
1555,63479,2,7,19,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,13326,567
1555,63480,2,8,20,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,40559,474
1555,63481,2,9,21,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,17142,459
1555,63482,2,10,22,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,6398,473
1555,63483,2,11,23,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,21256,463
1555,63484,2,12,24,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,35783,473
1555,63485,3,1,25,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,11762,464
1555,63486,3,2,26,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,15078,461
1555,63487,3,3,27,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,30418,478
1555,63488,3,4,28,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,12270,463
1555,63489,3,5,29,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,33937,471
1555,63490,3,6,30,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,27171,473
1555,63491,3,7,31,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,28059,525
1555,63492,3,8,32,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,24920,489
1555,63493,3,9,33,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,29816,469
1555,63494,3,10,34,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,21963,466
1555,63495,3,11,35,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,5845,467
1555,63496,3,12,36,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,28091,469
1556,63365,2,1,13,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,10849,601
1556,63366,2,2,14,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,2915,592
1556,63367,2,3,15,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,4551,588
1556,63368,2,4,16,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,8454,598
1556,63369,2,5,17,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,9637,598
1556,63370,2,6,18,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,7053,598
1556,63371,2,7,19,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,5224,601
1556,63372,2,8,20,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,6277,600
1556,63373,2,9,21,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,7277,597
1556,63374,2,10,22,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,2,6947,592
1556,63375,2,11,23,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,4258,594
1556,63376,2,12,24,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,6,24070,596
1556,63353,1,1,1,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,2,14721,1365
1556,63354,1,2,2,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,8756,645
1556,63355,1,3,3,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,6050,609
1556,63356,1,4,4,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,4591,607
1556,63357,1,5,5,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,8042,597
1556,63358,1,6,6,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,9799,586
1556,63359,1,7,7,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,7753,594
1556,63360,1,8,8,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,4183,589
1556,63361,1,9,9,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,3975,586
1556,63362,1,10,10,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,16300,584
1556,63363,1,11,11,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,9945,595
1556,63364,1,12,12,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,5250,593
1556,63377,3,1,25,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,4520,611
1556,63378,3,2,26,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,6933,598
1556,63379,3,3,27,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,3,11767,604
1556,63380,3,4,28,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,6,7970,602
1556,63381,3,5,29,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,3439,604
1556,63382,3,6,30,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,3851,600
1556,63383,3,7,31,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,2680,596
1556,63384,3,8,32,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,6541,591
1556,63385,3,9,33,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,4864,596
1556,63386,3,10,34,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,9210,597
1556,63387,3,11,35,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,4553,607
1556,63388,3,12,36,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,6805,606
1557,63725,2,1,13,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,14398,491
