subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1287,56687,3,1,19,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,4,21884,603
1287,56688,3,2,20,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,1,19593,517
1287,56689,3,3,21,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,2,4,16937,536
1287,56690,3,4,22,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,4,6829,515
1287,56691,3,5,23,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,3,5165,535
1287,56692,3,6,24,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,3,11516,503
1287,56693,3,7,25,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,6,5311,558
1287,56694,3,8,26,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,6,4611,510
1287,56695,3,9,27,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,1,13409,537
1287,56696,4,1,28,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,0,0,3,13588,514
1287,56697,4,2,29,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,2,2,17934,540
1287,56698,4,3,30,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,0,0,6,18220,517
1287,56699,4,4,31,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,1,2,5338,519
1287,56700,4,5,32,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,2,6,44614,538
1287,56701,4,6,33,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,2,5,11331,505
1287,56702,4,7,34,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,2,6,11153,562
1287,56703,4,8,35,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,2,2,18318,540
1287,56704,4,9,36,blue,148.302,fieldSmooth,0.098716,1.9,1,1.1,1,2,6,57543,540
1287,56669,1,1,1,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,1,6401,545
1287,56670,1,2,2,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,6,47839,519
1287,56671,1,3,3,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,1,6,10335,546
1287,56672,1,4,4,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,5,74441,499
1287,56673,1,5,5,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,6,15648,552
1287,56674,1,6,6,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,6,10314,544
1287,56675,1,7,7,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,2,25306,575
1287,56676,1,8,8,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,2,1,16928,543
1287,56677,1,9,9,viridis,409,fieldSmooth,0.098716,1.9,1,1.1,1,1,3,30417,505
1287,56678,2,1,10,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,0,0,5,30754,618
1287,56679,2,2,11,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,0,0,5,7585,536
1287,56680,2,3,12,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,1,1,9329,503
1287,56681,2,4,13,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,1,2,20900,541
1287,56682,2,5,14,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,2,1,25567,516
1287,56683,2,6,15,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,1,3,33759,511
1287,56684,2,7,16,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,1,2,25252,518
1287,56685,2,8,17,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,1,4,16591,538
1287,56686,2,9,18,blue-orange,499.941,fieldSmooth,0.098716,1.9,1,1.1,1,1,6,8445,533
1288,57074,2,1,10,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,2,5942,409
1288,57075,2,2,11,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,4,15753,399
1288,57076,2,3,12,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,5,13562,471
1288,57077,2,4,13,jet,793.453,fieldSmooth,0.098716,1.9,1,1.1,1,1,4,107393,417
