participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp,ciede2000_discriminative,contrast_sensitivity,hue_discriminative,luminance_variation,chromatic_variation,categorization,LAB_Length,color_name_variation,log_ciede2000_discriminative,log_contrast_sensitivity,log_hue_discriminative,log_luminance_variation,log_chromatic_variation,log_categorization,logLAB_Length,log_color_name_variation
699682150479d70e4a010516,13,low,0.954,0.9537725910311774,0.5390625,1,25,200,linear,diverging,1,1,1,6375,2026-02-22T03:50:13.184Z,34.75336235030481,175.23527090234077,201.72130849120265,89.64206976095173,77.4998853505215,152.44929110814837,224.63949865335928,4.288262020790843,3.5766443164742054,5.171819868851844,5.307382694471924,4.506918451420994,4.363097164284385,5.03337016136233,5.418938586982049,1.458210759784843
699682150479d70e4a010516,33,high,0.956,0.9554638835468,4.0,1,40,300,constant,diverging,2,2,1,2326,2026-02-22T03:50:15.527Z,36.3352938985642,210.7272054226363,301.2476354807414,139.51199971331982,53.62984030420112,180.10097156383642,227.28610166859565,3.800856841341524,3.619939096388226,5.355298679202279,5.7082645334763065,4.945292892339053,4.00058025917804,5.199054729667006,5.4305996741907245,1.3378540565945856
699682150479d70e4a010516,30,medium,0.982,0.9814067929388844,0.234375,1,20,200,constant,linear,0,1,0,6750,2026-02-22T03:50:22.289Z,26.455192697019996,147.72934305793896,235.43537318789512,69.90089109803726,48.763722996005015,102.88190479746912,98.64980317428017,1.7274467738437655,3.3125553193556314,5.002128164583651,5.4618611067964,4.261283001837623,3.907286264683666,4.643254723144237,4.601662071486559,0.5524166642286031
699682150479d70e4a010516,2,low,0.954,0.9541449332998142,1.171875,1,39,300,thermal,linear,0,0,1,6076,2026-02-22T03:50:28.375Z,36.33666517822927,178.31679286221242,300.4567724809393,52.37582071795737,214.12557085114148,139.5143801020579,322.53394917389954,4.062820497625559,3.619975824490238,5.1891540341296,5.7056366628561115,3.9773578478794223,5.3712219081069925,4.945309833017289,5.779304051785327,1.4043357564025858
699682150479d70e4a010516,43,high,0.956,0.9563844204243264,0.5625,1,2,100,diverging,constant,1,1,1,2747,2026-02-22T03:50:31.153Z,20.310783717353576,106.53987935316162,112.26716036767506,21.502350434376,165.33786820608148,61.64558291732101,199.250621791949,3.1496626811452675,3.0592132224100355,4.677861749502175,4.721771727222963,3.1136197675044612,5.1140210704757765,4.137493174743553,5.299569691022045,1.1504652754279938
699682150479d70e4a010516,15,low,0.954,0.9531561990272864,0.703125,1,31,200,thermal,thermal,3,2,0,7205,2026-02-22T03:50:38.365Z,33.59256209801489,175.9899099755231,205.93890727342225,143.2085754069357,202.75886803459775,142.79915212417666,291.89246375839804,3.3092244182458512,3.5436386906892237,5.176092725160932,5.328065021215171,4.971260691924088,5.3169372752700115,4.968417549053824,5.679805523760091,1.19973114667548
699682150479d70e4a010516,38,high,0.956,0.9553896327377306,0.75,1,19,200,thermal,constant,2,2,1,3761,2026-02-22T03:50:42.160Z,30.94761669315707,123.83804483599644,202.31423158889248,24.486078900038507,218.434719948008,145.58507320921973,271.2373869265834,4.341072919586758,3.464097583147844,4.827017255921371,5.310316249115755,3.2381323776041175,5.391054784856125,4.987605964413303,5.606674431728217,1.4704224628687947
699682150479d70e4a010516,21,medium,0.982,0.9818710023619398,0.15625,1,22,200,diverging,linear,3,1,0,4364,2026-02-22T03:50:46.552Z,31.599458726245352,162.6024310734112,204.95888747332785,52.73948472377909,132.48735180299883,142.37406414745394,233.62320003422536,2.7728614141192214,3.4842956847454163,5.097439283920167,5.323297193855765,3.984148014823161,4.8940067303032,4.965457048121895,5.457980823206389,1.0234796840056672
699682150479d70e4a010516,36,high,0.956,0.9565387536580252,0.4375,1,16,200,constant,constant,2,2,1,3447,2026-02-22T03:50:50.048Z,24.91764780853729,78.63496319607661,200.02371726260975,16.27557460328798,41.41730163928355,82.37499706888882,121.15087660954092,2.0691777433624807,3.2549241192387943,4.377453232546001,5.298935761615436,2.849293631230111,3.7475563365353524,4.423348469080031,4.805256974178538,0.7319724998642649
699682150479d70e4a010516,28,medium,0.982,0.9827422524620112,0.203125,1,41,300,linear,diverging,2,2,1,3598,2026-02-22T03:50:53.680Z,40.352213699026045,208.34887723823417,299.98515920285394,103.76714239927612,75.52429916444314,213.75145484049895,309.0091480530216,5.083933940001059,3.722125955684265,5.344002129366148,5.704066298383949,4.651740196002699,4.337608326533324,5.369481335418828,5.736601806892241,1.6280504082755054
