participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,correct,reactionTime,timestamp,ciede2000_discriminative,contrast_sensitivity,hue_discriminative,luminance_variation,chromatic_variation,categorization,LAB_Length,log_categorization,logLAB_Length,log_hue_discriminative,log_luminance_variation,log_chromatic_variation
6941891541c8e9e8823fa2f6,28,medium,0.982,0.9822552568641338,0.28125,1,28,200,constant,thermal,2,2,1,22629,2026-02-22T07:07:56.941Z,4.764484141537908,12.197079402337044,99.7909035572375,685.0297021903295,997.9090355723749,24,1219.7079402337044,3.2188758248682006,7.107186248310701,4.604078626025598,6.5309209244421105,6.906663719019643
6941891541c8e9e8823fa2f6,37,high,0.956,0.9553965289363684,0.4375,1,11,100,thermal,diverging,3,3,1,5053,2026-02-22T07:08:02.032Z,2.6173437032854174,6.700399880410669,34.25202916859344,327.3757639579683,342.52029168593435,13,670.0399880410669,2.6390573296152584,6.508828729892064,3.536661090245096,5.794158574483297,5.839246183239141
6941891541c8e9e8823fa2f6,1,low,0.954,0.954636505998412,0.5625,1,43,300,thermal,diverging,1,1,1,17713,2026-02-22T07:08:19.764Z,3.020467416877388,7.732396587206114,27.50386994850128,485.54255107884995,275.0386994850128,15,773.2396587206114,2.772588722239781,6.651881462252149,3.317955978419235,6.187324361478313,5.620541071413281
6941891541c8e9e8823fa2f6,38,high,0.956,0.9556367641553072,0.625,1,38,300,diverging,linear,1,1,1,6260,2026-02-22T07:08:26.030Z,2.7644751640257885,7.077056419906018,25.18343380772006,476.0580567904489,251.8343380772006,14,707.7056419906019,2.70805020110221,6.5634402668267136,3.230149391056046,6.167638195830944,5.532734484050092
6941891541c8e9e8823fa2f6,19,medium,0.982,0.9816934905931126,0.5,1,8,100,constant,diverging,3,3,1,19544,2026-02-22T07:08:45.597Z,2.4171894600114086,6.188005017629206,48.12170905488188,384.43560734821665,481.2170905488188,12,618.8005017629206,2.5649493574615367,6.429397654909501,3.8758093149885227,5.954374142340996,6.178394407982569
6941891541c8e9e8823fa2f6,36,high,0.956,0.9554956066366904,0.171875,1,21,200,linear,linear,3,3,1,21136,2026-02-22T07:09:06.753Z,1.4777457112598829,3.7830290208253,9.984866468557874,254.85762136716605,99.84866468557874,7,378.30290208253,2.0794415416798357,5.938335099819103,2.3110359307193975,5.5446211232270795,4.613621023713443
6941891541c8e9e8823fa2f6,40,high,0.956,0.9553250334476904,1.0,1,5,100,linear,linear,3,3,1,3070,2026-02-22T07:09:09.841Z,1.0519932495315023,2.693102718800646,7.708626980772704,206.3969731677511,77.08626980772704,5,269.3102718800646,1.791759469228055,5.599570454336396,2.0552291456785214,5.334634701512225,4.357814238672567
6941891541c8e9e8823fa2f6,24,medium,0.982,0.9814870624246684,0.375,1,46,300,diverging,thermal,3,3,1,6204,2026-02-22T07:09:16.061Z,3.731356739595517,9.552273253364524,71.75803973378433,389.8136994937531,717.5803973378432,19,955.2273253364524,2.995732273553991,6.862995672793155,4.274692502351207,5.968230974553584,6.577277595345253
6941891541c8e9e8823fa2f6,3,low,0.954,0.9540208946658728,0.9140625,1,37,300,linear,linear,0,0,1,14311,2026-02-22T07:09:30.396Z,2.084262834675014,5.335712856768035,20.657464068519456,353.8864017773775,206.57464068519457,10,533.5712856768035,2.3978952727983707,6.281465090471798,3.032905896140601,5.87179774327279,5.335490989134646
6941891541c8e9e8823fa2f6,7,low,0.954,0.9536376451863194,11.484375,1,42,300,diverging,diverging,3,2,0,36989,2026-02-22T07:10:07.405Z,2.44163946848197,6.250597039313843,11.064759177773231,476.38219281880504,110.64759177773232,12,625.0597039313843,2.5649493574615367,6.439445740244624,2.4127623156706255,6.168317412871403,4.715347408664671
