participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp,correct,reactionTime,ciede2000_discriminative,contrast_sensitivity,hue_discriminative,luminance_variation,chromatic_variation,LAB_Length,color_name_variation,categorization,log_categorization,logLAB_Length,log_hue_discriminative,log_luminance_variation,log_chromatic_variation,log_color_name_variation
560f54b3d4ab1e00126fb99f,22,medium,0.982,0.982525243201841,0.171875,1,38,300,diverging,linear,1,1,1,5175,2026-02-22T02:49:10.398Z,1,5175,38.70242322962777,185.79386115733928,300.3174226083436,52.54835530720002,128.85482182232064,301.1629633967739,3.321691950707361,243.60403904503056,5.499640735974588,5.710966485732247,5.705172916238597,3.9805850832045437,4.8664170712069215,1.2034802682621688
560f54b3d4ab1e00126fb99f,7,low,0.954,0.9547652994011432,0.703125,1,35,300,thermal,constant,1,1,1,8351,2026-02-22T02:49:18.771Z,1,8351,32.46459583968029,135.89168184317973,304.2380483633055,24.94128082130962,187.17153600780156,287.7323489517507,3.687245684182029,162.60506360823408,5.097455374840245,5.665500130796113,5.718139084785942,3.255835553972706,5.237353972396179,1.3075881327591792
560f54b3d4ab1e00126fb99f,18,medium,0.982,0.9829633323762293,0.1015625,1,39,300,thermal,linear,3,3,1,5731,2026-02-22T02:49:31.590Z,1,5731,36.33666517822927,178.31679286221234,300.4567724809394,52.375820717957396,214.12557085114125,322.5339491738996,4.062820497625559,139.51438010205788,4.945309833017289,5.779304051785327,5.7056366628561115,3.9773578478794227,5.371221908106992,1.4043357564025858
560f54b3d4ab1e00126fb99f,41,high,0.956,0.9553896303059948,0.59375,1,30,200,diverging,thermal,0,0,1,2854,2026-02-22T02:49:34.464Z,1,2854,32.45107970813402,172.0403292364764,200.78171593554202,127.09754127882101,124.49282028965762,252.41014173182296,4.879486011347053,154.75888070900393,5.048309175040461,5.53500928970582,5.302716256905349,4.852792014954403,4.832248548088001,1.5870871878083443
560f54b3d4ab1e00126fb99f,29,medium,0.982,0.9826997229747407,0.1484375,1,25,200,linear,diverging,3,3,1,21847,2026-02-22T02:49:56.324Z,1,21847,34.753362350304805,175.23527090234077,201.72130849120305,89.64206976095173,77.49988535052118,224.6394986533593,4.288262020790843,152.4492911081484,5.03337016136233,5.418938586982049,5.307382694471926,4.506918451420994,4.363097164284381,1.458210759784843
560f54b3d4ab1e00126fb99f,13,low,0.954,0.9531508721411301,0.5625,1,17,200,linear,constant,2,2,1,6907,2026-02-22T02:50:03.265Z,1,6907,31.75191347562168,116.6442795167885,200.5962589482392,19.398446213299906,72.39335088318684,193.82418621121417,3.2399138888287324,108.2690054279091,4.693812781572795,5.272097542696464,5.301792615609827,3.015458731934682,4.295833344094659,1.1786285002456223
560f54b3d4ab1e00126fb99f,12,low,0.954,0.9540324947581752,0.31640625,1,28,200,constant,thermal,1,1,1,13420,2026-02-22T02:50:16.717Z,1,13420,28.45463825391801,237.56043068525994,228.59286391491145,278.0729620346011,49.47439651318804,285.44972054292515,4.617950212849031,117.35491425206342,4.773687858140296,5.657563025266487,5.432379897721241,5.631473260301709,3.921466207974638,1.5321140514622056
560f54b3d4ab1e00126fb99f,26,medium,0.982,0.9814160033571123,0.25,1,32,300,constant,constant,1,1,1,6080,2026-02-22T02:50:22.822Z,1,6080,26.62940405233536,89.58371603260767,299.8352510747976,24.30943155035257,52.10905259922612,154.1715046020102,3.2301956833225236,138.47258547515827,4.937868062057517,5.044530986523282,5.703566621610934,3.2311771148165715,3.9723473958121263,1.1756337240676664
560f54b3d4ab1e00126fb99f,24,medium,0.982,0.9819063739147701,0.1875,1,5,100,linear,linear,2,2,1,7507,2026-02-22T02:50:30.356Z,1,7507,21.71057890026889,105.25456813700394,123.48085997882784,37.11636626503585,65.69838276139436,117.23620178960367,1.5991730852804729,58.42316569497907,4.084684145205336,4.772684333794932,4.81689567849216,3.6406437506599394,4.200180706171771,0.47572043542570397
560f54b3d4ab1e00126fb99f,46,high,0.956,0.9561580853528799,0.78125,1,20,200,constant,linear,3,3,1,4712,2026-02-22T02:50:35.101Z,1,4712,26.455192697019992,147.72934305793888,235.43537318789427,69.90089109803726,48.76372299600452,98.64980317428015,1.7274467738437655,102.8819047974691,4.643254723144236,4.601662071486558,5.4618611067963965,4.261283001837623,3.907286264683656,0.5524166642286031
560f54b3d4ab1e00126fb99f,4,low,0.954,0.9548330016334677,1.3125,1,16,200,constant,constant,0,0,1,7704,2026-02-22T02:50:42.836Z,1,7704,24.91764780853728,78.63496319607663,200.0237172626099,16.275574603288007,41.41730163928375,121.15087660954092,2.0691777433624807,82.37499706888882,4.423348469080031,4.805256974178538,5.298935761615437,2.849293631230113,3.747556336535357,0.7319724998642649
560f54b3d4ab1e00126fb99f,30,medium,0.982,0.9811975402214468,0.1484375,1,9,100,linear,diverging,0,0,1,8250,2026-02-22T02:50:51.120Z,1,8250,23.586200888559,129.73871008379044,104.59155220439969,63.69534192297375,87.22355851147695,151.02284968798196,2.641182423701177,89.32502916820073,4.503414599958653,5.02403083644294,4.651018428894381,4.169689203906956,4.479874030651736,0.9750057381046586
560f54b3d4ab1e00126fb99f,9000,medium,0.8,0.8499736243421628,6,0,47,300,thermal,thermal,1,1,1,1949,2026-02-22T02:50:53.101Z,1,1949,37.459881391131205,199.8038177415943,300.9348368877921,143.61039971295912,226.50516918094922,360.90480778591524,3.839889267902964,150.70052526257686,5.021908348857239,5.891381215327862,5.707225995220591,4.974043227698388,5.427172959807374,1.348044386302425
560f54b3d4ab1e00126fb99f,16,low,0.954,0.9538955813613624,5.859375,1,12,100,constant,thermal,1,1,1,15731,2026-02-22T02:51:08.860Z,1,15731,24.867303627035785,231.3576636720933,192.32315246214824,277.4787849650425,43.54205812664932,277.4598454334222,4.711114250382047,29.616773748087304,3.4215480204747903,5.629273867404573,5.259696866034276,5.629341880397725,3.7964338692629735,1.5520448417335233
560f54b3d4ab1e00126fb99f,10,low,0.954,0.9547619656566234,3.140625,1,27,200,thermal,diverging,3,0,0,17968,2026-02-22T02:51:26.862Z,0,17968,35.90157232786049,184.755030287204,201.96771045700197,99.61735703854978,218.05670834158,288.2422119584433,3.775115509612621,157.89414953810356,5.068238254350715,5.667264440762101,5.308602841516329,4.611324777957608,5.389330638495752,1.3310764041549632
560f54b3d4ab1e00126fb99f,27,medium,0.982,0.9816052861229,0.1796875,1,10,100,diverging,diverging,0,0,1,13990,2026-02-22T02:51:40.885Z,1,13990,24.491865887883883,167.10248159964323,107.51111539623955,101.67893631757951,143.72482376964768,202.65680673437566,2.5292679844339894,82.567618786634,4.425656109968934,5.316436257225407,4.678523945331332,4.631606996751576,4.974834172273172,0.9318758443895268
560f54b3d4ab1e00126fb99f,20,medium,0.982,0.9827169195684741,0.1875,1,21,200,linear,linear,0,0,1,8670,2026-02-22T02:51:49.569Z,1,8670,32.15088610251676,129.22769470621924,201.27712152285235,37.02195701099816,66.98077192483011,180.34406637163812,2.8740948322648503,106.93743709971204,4.681551773159416,5.200396145985676,5.305179376626509,3.638163808933852,4.219224899378995,1.0592111010821124
560f54b3d4ab1e00126fb99f,23,medium,0.982,0.9820164766576978,0.265625,1,24,200,constant,diverging,2,2,1,6339,2026-02-22T02:51:55.944Z,1,6339,29.78747331926162,192.378677575689,212.46600658581664,139.56048181186952,55.72174602179051,155.8539146732451,2.636290500537747,79.96462186352115,4.394012292144876,5.05531489239502,5.359252559359679,4.945637871675112,4.038157664926922,0.9731588482294592
560f54b3d4ab1e00126fb99f,25,medium,0.982,0.9818009015016169,0.359375,1,13,100,linear,thermal,2,2,1,8122,2026-02-22T02:52:04.101Z,1,8122,23.223091351102646,136.37086027448385,110.7844659517889,115.01362985266535,72.43338617775635,162.0032974605182,2.5135765520232574,90.21979990928637,4.513271977785055,5.093770430421272,4.7084888119734565,4.753707682933803,4.296378684764391,0.9256771619922172
560f54b3d4ab1e00126fb99f,11,low,0.954,0.9544779974762507,0.5625,1,2,100,diverging,constant,2,0,0,24603,2026-02-22T02:52:28.735Z,0,24603,20.310783717353576,106.53987935316164,112.26716036767546,21.50235043437614,165.33786820608148,199.250621791949,3.1496626811452675,61.64558291732101,4.137493174743553,5.299569691022045,4.721771727222967,3.1136197675044675,5.1140210704757765,1.1504652754279938
560f54b3d4ab1e00126fb99f,32,medium,0.982,0.9817418201358791,0.140625,1,29,200,linear,thermal,3,3,1,6705,2026-02-22T02:52:35.471Z,1,6705,34.74760811980196,188.65443904199046,203.01722575293925,143.07013019902715,82.14913709363398,263.1834582941921,4.646281805533995,164.0491186293232,5.106243118262667,5.576643779583788,5.313783279135265,4.970300196293575,4.42063582787774,1.5382172338411138
